,index,transaction,title,abstract,authors,track,invited
325,326,EDTM25-000505,Multi-physics Modeling of Au/MoS2/Au Memristors combining Molecular Dynamics and Electro-thermal Simulations,"The state transition in Au/MoS2/Au memristor across several cycles is analysed in this work using a multi-physics modeling framework that combines electro-thermal Finite Element Method (FEM) and Reactive Molecular Dynamics (MD) simulations. MD simulations provide the field-driven realistic atomistic filament structure of HRS and LRS, while temperatures from FEM simulations are fed back into MD for state transitions. The framework demonstrates that the HRS is caused by constriction of the filament near the top Au and monolayer MoS2 interface rather than complete filament rupture.","Mohit Tewari,Ashutosh Amaram,Tarun Agarwal",07 Modelling and Simulation,0
326,327,EDTM25-000507,"High Performance 4H-SiC DSRD With 1.4kV peak voltage ,400ps risetime and 1-MHz Continuous Repetition-rate","In this paper, a high-performance 4H-SiC Drift Step Recovery Diode (DSRD) is achieved. Experimental measurements demonstrate that our reported 4H-SiC DSRD could achieve a pulse peak voltage of 1.45 kV on 50 Ω load with a rise-time of 400-ps, resulting in a high voltage rise rate of 3.6 kV/ns. Then, the repetition frequency measurement result at 1 MHz is 
 demonstrated in continuous operation mode, revealing that fabricated 4H-SiC DSRD with excellent dynamic stability","Yu Zhou,jingkai Guo,Dengyao Guo,Fengyu Du,Lejia Sun,Xiaoyan Tang,qingwen song,Yuming Zhang",06 Wide-Bandgap Power and RF Devices,0
327,328,EDTM25-000508,Heterogeneous Integration of Complementary Logic Inverter with GaN n-HEMTs and Si p-MOSFETs for Power Application,"The paper describes a heterogeneously integrated CMOS inverter, combining GaN n-channel high-electron-mobility transistor (HEMT) and Si p-channel metal-oxide-semiconductor field-effect transistor (MOSFET). The integration is applied by the wire bonding. The innovation contributions of this paper may include: i) heterogeneously integrated complementary inverter, achieving rail-to-rail output (VOH/VOL: 3/0.01 V) and low static power consumption (0.33 mW), compared to the previous GaN DCFL or RTL inverters (VOL>0.5 V, IDD >1 mA), ii) fast switching performance at 250kHz, superior with the Si counterparts (<100 kHz). The heterogeneous integration GaN-Si complementary logic inverter break through the limitation of a single material to improve the performance for power electronics applications.","ang li,Jinxia Jiang,yifan yan,yingfei sun,guohao yu,xiaodong zhang,yong cai,zhongming zeng,baoshun zhang",06 Wide-Bandgap Power and RF Devices,0
328,329,EDTM25-000509,Neural Network Assisted MOSFETs Gate Dielectric Traps Extraction,"Neural network assisted MOSFETs gate dielectric traps extraction method as an emerging fast data-driven approach is studied. The proposed method extracts trap spatial and energetic distribution from the noise power spectral density (PSD) with two steps: 1) rough extraction using a customized multi-scale receptive fields Convolutional Neural Network (CNN), 2) refinement using Backpropagation Optimization (BO) network based on Gradient Descent (GD). The method is applied to a practical case, and successfully extracts the trap distribution.","Xiaoyan Liu,Jinghan Xu,Zheng Zhou",07 Modelling and Simulation,1
329,330,EDTM25-000510,"A Novel Superlattice HfO2-ZrO2 Ferroelectric Tunnel FET for Overall Improvement in Memory Window, EOT and Disturb Immunity","In this paper, a novel superlattice (SL) HfO2-ZrO2 ferroelectric (FE) junction-modulated tunnel FET (TFET) is proposed and experimentally demonstrated with overall improvement in memory window (MW), equivalent oxide thickness (EOT) and disturb immunity. The gate stack is optimized with SL FE layer for larger MW and smaller EOT simultaneously which usually has an optimization conflict in conventional FE layer. In addition, a more abrupt tunnel junction is introduced by a striped gate stack design, which is found to further increase the MW. The fabricated novel SL FE-JTFET demonstrates a 2.6× improvement in MW along with a 19% reduction in EOT comparing to FE-TFET, which is very beneficial for practical read current margin improvement. Moreover, the SL FE layer can also mitigate the disturb issue in the memory operations, showing the great potential of proposed device for practical low-power and high-robust memory applications.","Shaodi Xu,Zhiyuan Fu,Shengjie Cao,Yue Yu,Hao Zheng,Qianqian Huang,Ru Huang",04 Memory Technologies,0
330,331,EDTM25-000511,"A 512×256 TFT-based image array sensor with high sensitivity, high frame rate and wide dynamic range for industrial soft X-ray detection","This work presents a novel active pixel sensor (APS) design for soft X-ray flat panel detectors (FPDs) intended for non-destructive testing (NDT) applications that require high sensitivity, a wide dynamic range, and fast imaging capabilities. Unlike conventional passive pixel sensor (PPS), this design employs dual-gate thin film transistor (TFT) operating in the subthreshold region to compress and amplify optical signals, thereby expanding both detection limit and range. The array features randomly-accessible capabilities, achieving a frame rate of 88fps, making it as a promising candidate for real-time in-line inspection applications.","Weikang Yan,Haorong Xie,Xianming Li,Chao Gao,Qi Liu,Song Kang,Jun Chen,Kai Wang","05 Photonics, Imaging and Display",0
331,332,EDTM25-000512,Investigation of Effects of Non-Volatile Memory-based Computation-in-Memory Non-Idealities and Model Size on Performance and Robustness of Small Language Model During Inference Phase,"This paper comprehensively evaluates the effect of employing non-volatile memory (NVM)-based computation-in-memory (CiM) for small language model acceleration. The effect of memory non-idealities on the performance of the small language models, along with the similarity between CiM-based CNNs and language models, is documented with similarities between error tolerance of large language models and convolutional neural networks. The study also establishes a trend between the type of NVM non-idealities, model performance, model size, and noise tolerance.","Adil Padiyal,Tao Wang,Naoko Misawa,Chihiro Matsui,Ken Takeuchi","13 Disruptive Technologies (Metaverse, Neuromorphic Computing, Quantum Computing)",0
332,333,EDTM25-000513,Effect of Cu microstructures on Cu/SiO2 hybrid bonding for 3D IC heterogeneous integration,"This paper reviews the effect of Cu microstructures on the Cu/SiO2 hybrid bonding for 3D IC heterogeneous integration. Four Cu microstructures are discussed, including regular Cu, (111)-oriented nanotwinned Cu, fine-grained Cu, and nanocrystalline Cu. The Cu microstructures affect the amount of expansion of Cu pads, as well as the surface diffusivity during the bonding process. Therefore, it is critical to select proper Cu microstructures for different applications.","Chih Chen,Huai-En Lin,Wei-Lan Chiu,Hsiang-Hung Chang",01 Materials,1
333,334,EDTM25-000518,Efficient Implementation of 16 Reconfigurable Boolean Logics Based on Memristors and Their Application in Image Edge Detection,"This paper presents a novel memristor-based logic-in-memory (LIM) design that integrates resistance input resistance output (R-R) and voltage input resistance output (V-R) principles to enhance computational efficiency. We implement 16 reconfigurable Boolean logic functions within a unified circuit framework. The design is applied to create both 1-bit and n-bit full adders, demonstrating significant improvements in speed and area efficiency. Additionally, the designs are utilized for image edge detection using both logical operations and the Sobel operator, with image results validating their effectiveness. This work highlights the potential of memristor-based logic to advance edge computing applications.","Zhouchao Gan,Yifeng Xiong,Fan Yang,Xiangshui Miao,Xingsheng Wang","13 Disruptive Technologies (Metaverse, Neuromorphic Computing, Quantum Computing)",0
334,335,EDTM25-000523,A CMOS-Compatible MoS₂ Transistor on Silicon-Rich Silicon Nitride as Multifunctional Neuromorphic Device,"Neuromorphic systems process information efficiently, but scalable hardware implementation of synaptic units remains challenging. In this work, we fabricated silicon-rich silicon nitride films as the gate dielectric and leveraged charge trap interactions with MoS₂ to simulate both electrical and optoelectronic synaptic functions in a single device. This device exhibits excellent linearity with positive weights (R^2 =0.99) and demonstrates significant photo-induced short-term plasticity. Additionally, the entire fabrication process is CMOS-compatible, facilitating large-scale integration.","Xiangwei Su,Caijing Liang,Hongzhao Wu,Xinlong Zeng,Yuda Zhao","13 Disruptive Technologies (Metaverse, Neuromorphic Computing, Quantum Computing)",0
335,336,EDTM25-000526,A sensing-computing system based on high uniformity photolithographic organic thin film transistor,"In this work, a sensor computing system based on high uniformity photolithographic organic thin film transistor (OTFTs) is presented. Different from traditional sensing computing system, this work avoids the step-down module required by the mismatch of operating voltage between OTFT and CMOS circuits by introducing capacitor weight array and compensation circuit, and realizes the recognition accuracy of 100\% by taking the 5*6 system as a demonstration.","Yaojie Zheng,Taoming Guo,Haobin Zhou,Chen Jiang",11 Flexible and Wearable Electronics,0
336,337,EDTM25-000527,Physics-Based Circuit-Compatible Model of Polycrystalline Hafnia-based 3D Ferroelectric Capacitor for High-Density Memory Applications,"In this work, based on finite element method, a physics-based equivalent circuit model for polycrystalline hafnia-based 3D ferroelectric capacitor is proposed and developed, which can capture the cylindrical geometric feature and the impacts from complex phase distribution in actual ferroelectric film for the first time. The proposed circuit-compatible model shows high accuracy compared with TCAD simulation and significantly improved computation efficiency compared with previous methods. Moreover, two typical types of phase distribution in ferroelectric capacitors are discussed based on the experimental characterization for model modification. Based on the proposed model, it is suggested to improve the ferroelectricity near inner electrode and reduce the possible interfacial dielectric layer thickness of 3D ferroelectric capacitor for high density memory application.","Minyue Deng,Jiayan Zhu,Chang Su,Liang Chen,Shengjie Cao,Qianqian Huang,Ru Huang",07 Modelling and Simulation,0
